station,hour,minute,day_of_week,predicted_bikes
41 - Instituto de Artes,4,15,Quarta,0
41 - Instituto de Artes,4,15,Quinta,0
41 - Instituto de Artes,4,15,Sexta,0
41 - Instituto de Artes,4,15,Sábado,0
41 - Instituto de Artes,4,15,Domingo,0
41 - Instituto de Artes,4,30,Segunda,0
41 - Instituto de Artes,4,30,Terça,0
41 - Instituto de Artes,4,30,Quarta,0
41 - Instituto de Artes,4,30,Quinta,0
41 - Instituto de Artes,4,30,Sexta,0
41 - Instituto de Artes,4,30,Sábado,0
41 - Instituto de Artes,4,30,Domingo,0
41 - Instituto de Artes,4,45,Segunda,0
41 - Instituto de Artes,4,45,Terça,0
41 - Instituto de Artes,4,45,Quarta,0
41 - Instituto de Artes,4,45,Quinta,0
41 - Instituto de Artes,4,45,Sexta,0
41 - Instituto de Artes,4,45,Sábado,0
41 - Instituto de Artes,4,45,Domingo,0
41 - Instituto de Artes,5,0,Segunda,0
41 - Instituto de Artes,5,0,Terça,0
41 - Instituto de Artes,5,0,Quarta,0
41 - Instituto de Artes,5,0,Quinta,0
41 - Instituto de Artes,5,0,Sexta,0
41 - Instituto de Artes,5,0,Sábado,0
41 - Instituto de Artes,5,0,Domingo,0
41 - Instituto de Artes,5,15,Segunda,0
41 - Instituto de Artes,5,15,Terça,0
41 - Instituto de Artes,5,15,Quarta,0
41 - Instituto de Artes,5,15,Quinta,0
41 - Instituto de Artes,5,15,Sexta,0
41 - Instituto de Artes,5,15,Sábado,0
41 - Instituto de Artes,5,15,Domingo,0
41 - Instituto de Artes,5,30,Segunda,0
41 - Instituto de Artes,5,30,Terça,0
41 - Instituto de Artes,5,30,Quarta,0
41 - Instituto de Artes,5,30,Quinta,0
41 - Instituto de Artes,5,30,Sexta,0
41 - Instituto de Artes,5,30,Sábado,0
41 - Instituto de Artes,5,30,Domingo,0
41 - Instituto de Artes,5,45,Segunda,0
41 - Instituto de Artes,5,45,Terça,0
41 - Instituto de Artes,5,45,Quarta,0
41 - Instituto de Artes,5,45,Quinta,0
